candidate_id,refactoring_type,file_path,complexity_base,complexity_refac,complexity_delta,smells_base,smells_refac,smells_delta
Math_1_ExtractMethod_141,ExtractMethod,src/main/java/org/apache/commons/math3/analysis/solvers/RiddersSolver.java,17,17,0,1,1,0
Math_1_ExtractMethod_116,ExtractMethod,src/main/java/org/apache/commons/math3/optim/BaseMultivariateOptimizer.java,24,24,0,4,4,0
Math_1_ExtractMethod_121,ExtractMethod,src/main/java/org/apache/commons/math3/analysis/integration/gauss/LegendreRuleFactory.java,13,13,0,5,5,0
Math_1_ExtractMethod_156,ExtractMethod,src/main/java/org/apache/commons/math3/primes/PollardRho.java,17,17,0,2,2,0
Math_1_ExtractMethod_144,ExtractMethod,src/main/java/org/apache/commons/math3/analysis/interpolation/BicubicSplineInterpolator.java,21,21,0,0,0,0
Math_1_ExtractMethod_140,ExtractMethod,src/main/java/org/apache/commons/math3/analysis/solvers/MullerSolver2.java,16,16,0,0,0,0
Math_1_ExtractMethod_115,ExtractMethod,src/main/java/org/apache/commons/math3/ode/nonstiff/RungeKuttaIntegrator.java,13,15,2,1,0,-1
